Stage,Measured Latency (s),Avg Power (W),Energy per Inference (J),Energy per 1M Inferences (kWh),Annual Cost ($)
Baseline (FP16),2.4137043952941895,4.2,10.137558460235596,2.815988461176554,2.815988461176554
Quantized (INT4),2.065816640853882,1.8,3.7184699535369874,1.032908320426941,1.032908320426941
